indicator,code,type,meaning,calculation logic,meaning_behavior,sources
Longest Common Subsequence (LCSS),lcss,Comparison,Measures exact shape matching or cost to align one sequence to another.,"1. Define a matching threshold (e.g., a 5% difference in load).<br>2. Compare the first point of Curve A to the first point of Curve B. If the difference is within the threshold, assign a ""0"" (match). If outside the threshold, assign a ""1"" (no match).<br>3. Progress chronologically, allowing the algorithm to skip unmatched regions (gaps) to find the longest continuous sequence of matching ""0""s between the two curves.",Assesses how chronologically aligned or similarly shaped two occupants' daily lives are.,Zhang et al. 2022; Köhler et al. 2022.
RMSE / MAPE / NRMSE / NVF / MAE,"rmse, mape, nrmse, nvf, mae",Comparison,Evaluates the magnitude of deviation or exact matching error between measured and synthetic time series.,"1. Align a measured curve and a synthetic curve by time step.<br>2. At each time step, subtract the synthetic value from the measured value to find the error.<br>3. Depending on the metric: square the error (RMSE), take the absolute value (MAE), or divide the absolute error by the measured value for a percentage (MAPE).<br>4. Average the result across all time steps.",Evaluates how well a modelled load curve replicates true behavioral variations.,Köhler et al. 2022; Nti et al. 2020; Adeoye & Spataru 2019; Kewo et al. 2023; Ihsane et al. 2018; Dominguez et al. 2021; Widén et al. 2009.
MPDADA & MPDADMA,"mpdada, mpdadma",Comparison,Mean Percentage Deviation Against Daily Average / Daily Moving Average.,"1. Isolate only the peak time intervals in the load curve.<br>2. Calculate the absolute error between the measured peak and the forecasted peak.<br>3. Instead of dividing by the actual peak load, divide the error by the overall Daily Average Load (MPDADA) or a 24-hour Moving Average (MPDADMA).<br>4. Average these deviation percentages.",Specifically evaluates how accurately a model predicts the peak demands compared to daily averages.,Ihsane et al. 2018.
Maximum Value (Peak Load),peak_load,Magnitude,Represents the highest power demand in the dataset over a given period.,"1) Isolate a specific time period (e.g., one day). 2) Scan all data points within that period to find the single highest power value. 3) If calculating the Mean Daily Peak Load, repeat this for every day (n days) to get a list of daily maximums, then calculate the arithmetic average of that list.","Reflects the user-dependent active share of consumption, marking periods of simultaneous high-power appliance usage.",K�hler et al. 2022; Li et al. 2018; Ihsane et al. 2018; Balasubramanian et al. 2021; Herraiz-Ca�ete et al. 2022; Dominguez et al. 2021; Hartvigsson & Ahlgren 2018; Dickert & Schegner 2011; Stevanato et al. 2025.
Minimum Value (Base Load),base_load,Magnitude,Represents the lowest power demand occurring in the dataset.,"1) Scan the entire target dataset (e.g., a daily or annual load curve). 2) Extract the absolute lowest power demand value recorded. This usually occurs during the night or when the dwelling is unoccupied.","Indicates the constant baseline energy footprint of devices running 24/7 (e.g., refrigerators) without active human intervention.",K�hler et al. 2022; Balasubramanian et al. 2021; Li et al. 2018; Hartvigsson & Ahlgren 2018.
Annual Consumption,annual_cons,Magnitude,The total electrical power demand in a year,"1. Sum the power demand values of every single measurement interval in the dataset (e.g., all 8,760 hours in a year).","Shows the overall magnitude of demand, correlating with household size, appliance ownership, and wealth.",K�hler et al. 2022; Balasubramanian et al. 2021; Zhang et al. 2022; Li et al. 2018; Ihsane et al. 2018; Herraiz-Ca�ete et al. 2022; Dominguez et al. 2021.
Monthly average load,avg_load_month,Magnitude,The average electrical power demand over a specific time span (month),"1) Sum the power demand values of every single measurement interval in the dataset (e.g., all 8,760 hours in a year). 2) Divide that total sum by the total number of measurement intervals (months).","While daily data shows when you use power, monthly averages reveal the why-the underlying seasonal, economic, and social drivers of your behavior.",K�hler et al. 2022; Balasubramanian et al. 2021; Zhang et al. 2022; Li et al. 2018; Ihsane et al. 2018; Herraiz-Ca�ete et al. 2022; Dominguez et al. 2021.
Monthly consumption,monthly_cons,Magnitude,The total electrical power demand in a month,1. Sum the power demand values of every single measurement interval in the dataset for each month,"Shows the overall magnitude of demand, correlating with household size, appliance ownership, and wealth and season",K�hler et al. 2022; Balasubramanian et al. 2021; Zhang et al. 2022; Li et al. 2018; Ihsane et al. 2018; Herraiz-Ca�ete et al. 2022; Dominguez et al. 2021.
Blackout Frequency,bo_freq,Reliability,System Stress Level: Measures the frequency at which the household's energy demand exceeds the storage capacity of the 89Wh battery.,"1. Calculate the time difference between every consecutive timestamp. 2. Define a threshold based on logger frequency (e.g., 7 min). 3. Count occurrences where the difference exceeds the threshold.",Measures the frequency at which the household's energy demand exceeds the storage capacity of the 89Wh battery.,
Mean Outage Duration,mod,Reliability,"Recovery Speed: Indicates how long a family remains ""in the dark"" before the system recovers, typically dictated by the next day's solar recharge.","1. Identify all time gaps in the datalogger activity.  2. Subtract the ""Last Recorded Timestamp"" from the ""Next Recorded Timestamp"" for each gap.  3. Sum durations and divide by the number of events.","Measures recovery time, typically until the next solar recharge cycle.",
Climatic Blackout Rate,cbr,Reliability,Environmental Constraint: Quantifies the impact of the rainy season and cloud cover on energy availability in the indigenous territory.,"1. Look back 24 hours from each blackout.  2. Filter PV voltage (VPV​) for peak sunlight hours (10:00–15:00).  3. Classify as ""Climatic"" if average VPV​ is below a threshold (e.g., 15V).",Failures caused by external conditions like clouds or the rainy season.,
Reliability Index (RI %),ri,Reliability,Service Availability: The actual percentage of time the SHS fulfills its role in supporting the principle of Sumaq Kawsay (Living Well).,"1. Determine total study duration (Last minus First timestamp).  2. Sum the durations of all blackout gaps.  3. Subtract blackout time from total duration, divide by total duration, and multiply by 100.",Percentage of time the user actually has access to electricity services.,
Mean Daily Load Factor,load_factor,Reliability,Ratio between average load and peak load.,"1. For a single day, calculate the average load.<br>2. For that same day, find the absolute maximum peak load.<br>3. Divide the daily average by the daily peak, and multiply by 100 to get a percentage.<br>4. Average these daily percentages across the entire dataset.","Describes the ""peakiness"" of a profile. Low load factors mean brief, intense spikes; higher factors suggest consistent, spread-out behavior.",Li et al. 2018; Ihsane et al. 2018; Herraiz-Cañete et al. 2022; Dominguez et al. 2021; Hartvigsson & Ahlgren 2018; tpwrs.2020.3018936.pdf; Stevanato et al. 2025.
Capacity Factor,capacity_factor,Reliability,The fraction of generated electricity compared to the maximum possible generation over a time frame.,"1. Calculate the actual total energy consumed/generated over a given timeframe (e.g., one week).<br>2. Determine the theoretical maximum energy that could have been generated if the system ran at 100% capacity continuously for that exact same timeframe.<br>3. Divide the actual total by the theoretical maximum.",Represents how well a system utilizes its capacity to meet aggregated electricity behaviours over time.,Hartvigsson & Ahlgren 2018.
Peak Number Category (PNC) / ECPk,pnc,Shape ,Classifies load patterns according to their number of electricity consumption peaks.,"1. Define a baseline threshold (e.g., 1.5 times the average daily consumption).<br>2. Scan the daily load curve chronologically.<br>3. Count every distinct instance where the power demand curve crosses above this threshold and then falls back down, registering it as one ""peak"". Classify the household based on this count (e.g., 1-peak, 2-peak profile).",Translates directly to the number of distinct intensive activity periods mapping to active routines.,Zhang et al. 2022.
V-Shape & M-Shape Features,shape,Shape ,Abstracted features capturing the morning and evening peaks.,"1. Divide the day into specific windows (e.g., midnight to 2 PM, and 2 PM to midnight).<br>2. Find the maximum consumption value and its corresponding timestamp in the first window (Peak 1).<br>3. Find the maximum consumption value and its timestamp in the second window (Peak 2).<br>4. Find the minimum consumption value and its timestamp occurring between Peak 1 and Peak 2 to define the geometric ""dip"" of the M or V shape.",Captures the abstracted macro-behavioral morning/evening energy routines over a simple parameter set.,Al-Otaibi et al. 2016.
